Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
13,Analyze how task patterns contribute to successful project completion. Examine their impact on scheduling and team coordination.,CO1,AN,WK9,3.5,5,T,2,CO2,100,0
14,Analyze the Capability Maturity Model (CMM). Assess how an organization can transition from one maturity level to the next.,CO1,AN,WK8,3.5,5,T,3,CO3,60,40
15,Compare and contrast PSP and TSP frameworks. Evaluate their effectiveness in software project management and recommend the most suitable approach for large-scale projects.,CO1,AN,WK9,11.6,10,T,4,CO4,100,0
16,Analyze how evolving software trends influence the selection of process frameworks. Justify your analysis with real-world examples.,CO1,AN,"WK4, WK8",8.3.1,10,T,5,CO5,100,0
17,Apply software engineering principles to demonstrate their role in solving real-world problems. Support your argument with practical case studies.,CO1,A,WK8,12.5,10,T,6,CO6,80,20
18,Apply appropriate documentation strategies to examine the role of documentation in software engineering across each phase of the lifecycle.,CO1,A,"WK3, WK8",7.3,10,T,,,,
19,"Design an integrated process improvement plan combining CMMI, ISO/IEC standards, PSP, and TSP for a mid-sized software organization.",CO1,C,WK4,5.6,10,T,,,,
20,Apply process assessment techniques to construct a process improvement framework for a software engineering organization with a structured improvement roadmap.,CO1,A,"WK4, WK9",3.5,10,T,,,,
21,Apply process assessment principles to demonstrate the importance of process improvement in software engineering. Construct a justified improvement strategy.,CO1,A,WK9,—,10,T,,,,
Module 2:-Traditional & Agile Software Development,"CO2:-Analyze and compare traditional and agile software development models, including their applicability to various project scenarios.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
22,Discuss the Agile Manifesto values.,CO2,U,WK8,1.7.1,2,T,,,,
23,Examine different Prescriptive and Specialized Process Models and compare their applicability.,CO2,AN,WK4,1.7.1,2,T,,,,
24,Illustrate why software process models are necessary for software product development.,CO2,U,WK3,7.3,2,T,,,,
25,Interpret the phases of the Waterfall model and explain the role of each phase.,CO2,U,WK4,3.5,2,T,,,,
26,Apply the concept of concurrent development to describe how parallel activities are managed in software engineering.,CO2,A,WK4,3.5,2,T,,,,
27,Demonstrate what is meant by iterative development with the help of a suitable example.,CO2,A,WK3,1.7.1,2,T,,,,
28,"Differentiate between the roles of Scrum Master, Product Owner, and Development Team in a Scrum team.",CO2,AN,WK6,9.4,2,T,,,,
29,Analyze the Rapid Application Development (RAD) Model with a suitable diagram. Examine its fundamental principles and identify scenarios where it is most effective.,CO2,AN,WK2,12.5,5,T,,,,
30,Apply the Component Assembly Model to a software development scenario and demonstrate how reusable components improve development efficiency.,CO2,A,WK4,5.4,5,T,,,,
31,Apply the Concurrent Process Model to a practical software project. Outline its features and demonstrate how it manages parallel activities.,CO2,A,WK4,3.5,5,T,,,,
32,Analyze the advantages and disadvantages of Agile development in comparison to traditional process models.,CO2,AN,WK8,1.7.1,5,T,,,,
33,Apply the Spiral Model to a risk-intensive software development scenario and justify the conditions under which it is most appropriate.,CO2,A,WK4,9.6.1,5,T,,,,
34,Analyze the application of the Incremental Model in software product development by comparing it with the Waterfall model.,CO2,AN,WK2,12.4,5,T,,,,
35,Design an Agile development plan for a startup product by applying core Agile values and selecting appropriate practices.,CO2,C,WK8,12.5,5,T,,,,
36,Apply the Prototyping Model to a real-life example explaining all steps. Evaluate the trade-offs of using prototyping versus non-prototyping approaches.,CO2,A,WK5,3.5,10,T,,,,
37,Analyze which software development model best suits a scenario where a large formal client enforces a strict approach. Justify by comparing it with Agile alternatives.,CO2,AN,"WK3, WK4",3.5,10,T,,,,
38,Evaluate which software development approach best adapts to frequently changing client requirements. Construct a justification supported by model characteristics.,CO2,AN,WK8,9.6.1,10,T,,,,
39,Design a software development strategy for a project where customer requirements are unclear at the start. Apply the appropriate process model and justify each phase decision.,CO2,C,WK5,9.6.1,10,T,,,,
40,"Analyze how Scrum benefits software development by promoting teamwork, adaptability, and continuous improvement. Examine its ceremonies, roles, and artifacts.",CO2,AN,"WK6, WK8",8.4,10,T,,,,
41,Apply the principles of Extreme Programming (XP) to a software development scenario and demonstrate how its practices improve code quality and team collaboration.,CO2,A,"WK6, WK8",10.6,10,T,,,,
42,Apply and evaluate Agile versus traditional development approaches for an in-house flexible-client project. Recommend a justified development strategy.,CO2,A,"WK8, WK9",9.6.1,10,T,,,,
Module 3:-Requirements Analysis with Cost Estimation,"CO3:-Identify and formulate functional and non-functional requirements for software systems, and perform cost estimation using various models. ",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
43,Clarify the types of requirements in software engineering with appropriate examples.,CO3,U,"WK1, WK3",1.6.1,2,T,,,,
44,Describe how a feasibility study is conducted during requirements engineering and explain its significance.,CO3,U,"WK5, WK6",1.7.1,2,T,,,,
45,Apply your understanding to discuss different origins of changes occurring during software product development.,CO3,A,WK8,1.6.1,2,T,,,,
46,Explain the five information domain characteristics of function points with suitable examples.,CO3,U,WK4,1.6.1,2,T,,,,
47,Differentiate between Requirement Elicitation and Requirement Analysis activities.,CO3,AN,"WK3, WK6",1.6.1,2,T,,,,
48,Illustrate the kinds of checks conducted during requirement validation with examples.,CO3,U,WK6,2.5.1,2,T,,,,
49,Apply the concept of requirement gathering to justify its significance in software development.,CO3,A,WK5,1.6.1,2,T,,,,
50,Apply scheduling concepts to draw and explain a scheduling diagram for a railway ticket reservation application development project.,CO3,A,WK10? → WK5,1.7.1,5,T,,,,
51,"Analyze the given DRDO project numerical: Apply the appropriate COCOMO model and compute effort, development time, and staffing.",CO3,AN,"WK2, WK9",2.8.2,5,N,,,,
52,Apply DFD modeling concepts to identify and draw the components of an Analysis Model with a suitable explanation.,CO3,A,WK3,1.7.1,5,T,,,,
53,Construct DFD Level 0 and Level 1 diagrams for a Library Management System applying appropriate data flow design principles.,CO3,A,"WK3, WK5",2.5.1,5,T,,,,
54,Apply function point analysis to the given Library Management System numerical and estimate the development effort.,CO3,A,"WK2, WK9",3.8,5,N,,,,
55,"Analyze the key differences between Basic, Intermediate, and Detailed COCOMO models and examine their impact on cost estimation accuracy.",CO3,AN,WK9,12.5,5,T,,,,
56,"Design a requirements engineering plan for a new e-commerce application, integrating elicitation, validation, and specification activities.",CO3,C,WK9,3.5,5,T,,,,
57,Apply appropriate requirements gathering techniques to construct a structured requirements elicitation plan for a real-world Hospital Management System.,CO3,A,WK6,9.6.1,10,T,,,,
58,Analyze various activities encompassed within requirements engineering. Examine each activity with concrete examples and evaluate its contribution to product quality.,CO3,AN,"WK3, WK6",5.6,10,T,,,,
59,Construct a Use Case Diagram for a Restaurant Management System and develop DFD Level 0 and Level 1 diagrams applying appropriate modeling standards.,CO3,C,"WK3, WK5",1.7.1,10,T,,,,
60,Design a comprehensive Software Requirements Specification (SRS) document for an online banking system. Apply standard SRS components and justify each section.,CO3,C,"WK4, WK6",2.8.2,10,T,,,,
61,"Suppose a Project was estimated to be 400 KLOC. Calculate the effort, development time & Team Size for each of three model i.e, Organic,Semidetached & Embedded.
Organic Mode: a = 2.4, b = 1.05, c = 2.5, d = 0.38.
Semi detached Mode: a = 3.0, b = 1.12, c = 2.5, d = 0.35.
Embedded Mode: a = 3.6, b = 1.20, c = 2.5, d = 0.38.
",CO3,U,"WK2, WK9",1.6.1,10,N,,,,
62,"A software project requires 50,000 lines of code (KLOC = 50). 
It follows the Organic mode of the COCOMO model. Calculate the Effort (in PM) and Development Time (in months) using the basic COCOMO equations.Also calculate cost required for the development of project. assume monthly salary of a person is 60k . For Organic Mode: a = 2.4, b = 1.05, c = 2.5, d = 0.38.",CO3,AN,"WK2, WK9",3.5,10,N,,,,
63,"A banking application consists of the following components:
External Inputs (EI):10, Average Complexity, weighting factor 4.
External Outputs (EO):5, High Complexity, weighting factor 7.
External Inquiries (EQ):8, Low Complexity, weighting factor 3.
Internal Logical Files (ILF):4, Average Complexity, weighting factor 10.
External Interface Files (EIF):6, High Complexity, weighting factor 7.
Given: Sum of 14 adjustment factors of FPA = 35, Effort rate 1.5 Persons-Month Per FP, Cost Per Person Month is Rupees 50000/-
Calculate estimate of Effort, Time & Cost using FP based estimation technique.
",CO3,U,"WK2, WK9",9.6.1,10,N,,,,
Module 4:-Design Engineering,"CO4:- Design software systems using Design Principles, concepts, and techniques for components of design model.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
64,Illustrate the term 'Design Process' in software engineering and describe its key stages.,CO4,U,WK3,9.6.1,2,T,,,,
65,Apply the concept of User Interface Design and justify its purpose in improving user experience.,CO4,A,WK5,7.3,2,T,,,,
66,Explain the goal of Data Design and illustrate its role in software architecture.,CO4,U,WK4,12.5,2,T,,,,
67,Apply the principle of Refinement  in Component-Level Design and discuss its significance.,CO4,A,WK3,9.6.1,2,T,,,,
68,Describe the concept of Information Hiding in design and summarize how it supports encapsulation.,CO4,U,WK3,3.5,2,T,,,,
69,Distinguish between the key elements of a design model and justify each element's role.,CO4,AN,WK4,8.3.1,2,T,,,,
70,Apply the principle of modularity to design a simple calculator application and demonstrate how modular decomposition improves maintainability.,CO4,A,WK5,5.5,5,T,,,,
71,Apply the concept of abstraction to design a high-level architecture for a banking system and illustrate how abstraction layers reduce complexity.,CO4,A,WK5,12.4,5,T,,,,
72,Analyze the impact of poor User Interface Design on user satisfaction and system usability. Examine real-world failure cases.,CO4,AN,WK7,11.6,5,T,,,,
73,Apply different Design Principles to a software system and construct a structured explanation of each principle with practical examples.,CO4,A,WK4,11.6,5,T,,,,
74,Analyze the role of abstraction in the software design process. Examine how they guide designers from high-level to detailed specifications.,CO4,AN,WK3,3.5,5,T,,,,
75,Design a modular architecture for a student management system by applying functional independence and evaluating cohesion and coupling.,CO4,C,WK5,11.5,5,T,,,,
76,Analyze the role of information hiding in achieving secure and maintainable software systems. Examine its impact on module boundaries.,CO4,AN,WK9,3.5,5,T,,,,
77,Apply and distinguish between the types of abstraction and explain how abstraction differs from refinement in a practical software design scenario.,CO4,A,WK3,3.5,10,T,,,,
78,Analyze the components of the Design Model in software engineering. Examine the purpose and interrelation of each component in driving the design process.,CO4,AN,WK9,7.4,10,T,,,,
79,Apply the Four Elements Design Model to an online shopping system and demonstrate how each element contributes to the overall system design.,CO4,A,WK5,9.6.1,10,T,,,,
80,"Apply the concept of modularity to design a Library Management System and evaluate design decisions related to coupling, cohesion, and structural organization.",CO4,A,WK5,5.5,10,T,,,,
81,Design a software architecture for an e-learning platform by applying the nine key design concepts in software engineering and justifying each design decision.,CO4,C,WK4,9.6.1,10,T,,,,
82,Analyze the role of software architecture and control hierarchy in designing scalable systems. Examine architectural patterns and justify their selection.,CO4,AN,WK9,3.5,10,T,,,,
83,"Given two modules: 
Module A: Performs a sequence of operations where output of one becomes input of another., Module B: Contains unrelated functions grouped together.
Analyze which module is better designed and why?
Identify cohesion types for both modules.
Discuss the impact on testing and debugging.",CO4,AN,"WK5, WK8",11.5,10,T,,,,
84,Analyze the role of structural partitioning and software procedure design in creating efficient software systems. Evaluate how these concepts contribute to improving system  quality.,CO5,AN,"WK5, WK9",3.5,10,T,,,,
"Module 5:- 
Risk Management & Software Configuration Management",CO5:- Evaluate and mitigate software project risks and apply configuration management practices to maintain project integrity,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
85,Explain the Reactive Risk Strategy and investigate its significance in software project risk management.,CO5,U,WK3,7.4,2,T,,,,
86,Describe how you would mitigate the risk of a computer crash in a software project.,CO5,U,WK5,12.5,2,T,,,,
87,Apply risk assessment knowledge to identify parameters considered as fields of a Risk Table. Draw a Risk Table for any project.,CO5,A,WK2,3.5,2,T,,,,
88,Validate different categories of software risks and justify any one with a suitable example.,CO5,AN,WK3,1.7.1,2,T,,,,
89,Explain the role of Version Control in Software Configuration Management activities.,CO5,U,WK4,3.5,2,T,,,,
90,Differentiate between a software configuration audit and a software configuration review based on their objectives.,CO5,AN,WK4,1.7.1,2,T,,,,
91,Apply risk mitigation principles to justify the importance of risk mitigation in project management.,CO5,A,WK5,1.7.1,2,T,,,,
92,Apply the RMMM model to a software project scenario and demonstrate how it systematically manages project risks across phases.,CO5,A,WK9,3.5,5,T,,,,
93,Analyze the Risk Paradigm and apply it to perform structured risk management for a given software project.,CO5,AN,WK2,1.7.1,5,T,,,,
94,Apply risk identification techniques to identify two risks in a software project and construct a Risk Table with probability and impact values.,CO5,A,WK5,3.5,5,T,,,,
95,Design a complete Risk Information Sheet for a real-world software project by applying risk management documentation standards.,CO5,C,WK4,1.7.1,5,T,,,,
96,Apply SCM principles to outline three primary goals of Software Configuration Management and demonstrate how each contributes to project integrity.,CO5,A,WK4,1.7.1,5,T,,,,
97,Apply Change Management concepts to draw a flowchart of the Change Management process and explain each step in the SCM change process.,CO5,A,WK4,3.5,5,T,,,,
98,"Analyze how version control contributes to maintaining project integrity in SCM. Examine branching, merging, and baseline strategies.",CO5,AN,WK5,2.8.1,5,T,,,,
99,Analyze the integration of SCM with software engineering practices such as testing and CI/CD. Examine how SCM activities improve overall project governance.,CO5,AN,"WK6, WK9",9.4,10,T,,,,
100,Apply risk identification and documentation techniques to construct a structured risk register for a complete software engineering project.,CO5,A,"WK2, WK3",1.7.1,10,T,,,,
101,Analyze the differences between reactive and proactive risk strategies in software project management. Evaluate the effectiveness of each strategy.,CO5,AN,WK8,1.7.1,10,T,,,,
102,Apply the RMMM plan to construct a risk response strategy for your project and evaluate the effectiveness of each mitigation action.,CO5,A,WK9,1.7.1,10,T,,,,
103,Design a Risk Table for a software project developing an e-commerce platform. Apply risk prioritization techniques and propose appropriate mitigation strategies.,CO5,C,"WK5, WK9",3.5,10,T,,,,
104,Apply configuration management strategies to design an SCM scenario for a distributed team working on a mobile application. Justify your approach.,CO5,A,"WK6, WK8",1.7.1,10,T,,,,
105,"You are managing a software project, and you’ve identified the following risks in different categories. For each risk category, the likelihood (P), impact (I), and risk score (P * I) are provided. You need to analyze how reactive and proactive strategies would impact the project in terms of handling these risks.
Here is the risk data:
Task 1: Calculate the Risk Score for Each Risk Category
Task 2: Prioritize the Risks
Task 3: Suggest Mitigation Strategies

",CO5,A,"WK2, WK9",3.5,10,N,,,,
106,"Consider a project with the following identified risks and their associated likelihoods and impacts (on a scale from 1 to 5, where 1 is low and 5 is high):

Risk A: Likelihood = 4, Impact = 3
Risk B: Likelihood = 3, Impact = 5
Risk C: Likelihood = 2, Impact = 4 Calculate the overall risk score for the project. What is the priority order of these risks based on their risk scores?",CO5,AN,WK2,3.5,10,N,,,,
Module 6:-Software Testing with Quality Assurance,CO6:- Apply software testing techniques and assess software quality using SQA processes and McCall’s quality factors.,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
107,Apply the concept of Cyclomatic Complexity to explain its significance and demonstrate the formula with an example.,CO6,A,"WK2, WK3",5.4,2,T,,,,
108,Differentiate between White Box Testing and Black Box Testing by comparing their techniques and use cases.,CO6,AN,"WK3, WK4",3.5,2,T,,,,
109,Apply testing knowledge to illustrate the differences between Black Box and White Box Testing with examples.,CO6,A,WK3,5.6,2,T,,,,
110,Describe the qualities assessed in the Product Transition Phase of McCall's Quality Factor Model.,CO6,U,WK4,3.5,2,T,,,,
111,Apply User Acceptance Testing concepts to identify and explain the two tests conducted under UAT.,CO6,A,"WK3, WK6",7.4,2,T,,,,
112,Illustrate the concept of Equivalence Partitioning in software testing and demonstrate how it reduces the number of test cases.,CO6,U,WK3,3.5,2,T,,,,
113,Apply the concept of Regression Testing to demonstrate its purpose and usage in a software project.,CO6,A,WK3,1.7.1,2,T,,,,
114,Apply system testing knowledge to classify and discuss the types of tests executed during system testing with examples.,CO6,A,"WK3, WK4",3.5,5,T,,,,
115,Apply McCall's Quality Factor Model to explain what quality means in software and construct a detailed explanation of each quality factor.,CO6,A,WK4,1.7.1,5,T,,,,
116,Apply integration testing concepts to explain the need for Integration Testing and differentiate between Top-Down and Bottom-Up strategies with diagrams.,CO6,A,WK3,3.5,5,T,,,,
117,Analyze the effectiveness of Black Box Testing and White Box Testing in detecting different types of software defects.,CO6,AN,"WK2, WK9",1.7.1,5,T,,,,
118,Design a set of Boundary Value Analysis test cases for a login module by applying BVA principles and justifying each test case.,CO6,C,"WK3, WK5",1.7.1,5,T,,,,
119,Analyze the role of SQA activities in ensuring software quality throughout the development lifecycle and examine how they reduce defect density.,CO6,AN,"WK4, WK9",1.7.1,5,T,,,,
120,"Draw Control Flow Graph, Find independent Path, Compute Cyclomatic Complexity for the following code:
a. If(c1 or c2)
    While(c3) S1;
Else
    do s2; while(c4);
s3;
b.Draw Control Flow Graph, Find independent Path, Compute Cyclomatic Complexity for the following code:
If(a1 or a2)
    print (a1);
Else
    print (a2); 
do(a3)
print(statement) (while(a4);
p3;
",CO6,A,"WK2, WK3",1.7.1,5,T,,,,
121,Apply strategic software testing concepts to construct a comprehensive testing approach covering all levels of testing and their roles in quality assurance.,CO6,A,"WK3, WK4",3.5,10,T,,,,
122,"Analyze the significance of testing in software development. Examine the two broad categories of testing and compare their techniques, scope, and application scenarios.",CO6,AN,WK3,3.5,10,T,,,,
123,"Design a test automation strategy for an online banking application. Apply test automation concepts, justify tool selection, and evaluate scenarios suitable for automation.",CO6,C,"WK5, WK8",5.4,10,T,,,,
124,Apply SQA principles to design a compliance checklist for a software product and demonstrate how SQA ensures adherence to industry standards and regulations.,CO6,A,"WK6, WK7",1.7.1,10,T,,,,
125,Analyze the role of audits and reviews in the SQA process. Examine how formal technical reviews and software audits contribute to defect prevention and process improvement.,CO6,AN,"WK6, WK9",1.7.1,10,T,,,,
126,Design a comprehensive Black Box Testing plan for a weather forecasting application using Equivalence Partitioning and Boundary Value Analysis to develop a complete test suite.,CO6,C,"WK5, WK8",1.7.1,10,T,,,,
127,Analyze and construct a complete set of test cases for a student registration application using Equivalence Partitioning and Boundary Value Analysis. Justify each test case.,CO6,AN,"WK3, WK5",1.7.1,10,T,,,,
